,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
38,37,Brandon Hunter,"Jan 9, '04, BOS vs. CLE",23,2,67,630,90,189,0,3,40,82,75,187,22,17,8,44,82,220,.476,.000,.488,9.4,3.3,2.8,0.3,2004
39,38,LeBron James,"Oct 29, '03, CLE @ SAC",19,21,1453,55191,14450,28608,2331,6740,8221,11179,1694,10902,10658,2230,1095,5070,2639,39452,.505,.346,.735,38.0,27.2,7.5,7.3,2004
40,39,Britton Johnsen,"Oct 29, '03, ORL @ NYK",24,2,26,377,23,81,1,16,7,16,20,55,16,8,1,17,38,54,.284,.063,.438,14.5,2.1,2.1,0.6,2004
41,40,Linton Johnson,"Nov 7, '03, CHI vs. PHI",23,6,151,2111,239,574,32,105,72,103,159,493,65,84,63,100,271,582,.416,.305,.699,14.0,3.9,3.3,0.4,2004
42,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2004
43,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2004
44,41,Dahntay Jones,"Nov 21, '03, MEM @ SEA",23,13,624,9799,1203,2739,107,325,840,1118,252,1082,529,261,144,507,1206,3353,.439,.329,.751,15.7,5.4,1.7,0.8,2004
45,42,James Jones,"Dec 26, '03, IND @ MIL",23,14,709,11098,1205,3003,776,1937,531,632,226,1276,366,226,218,231,930,3717,.401,.401,.840,15.7,5.2,1.8,0.5,2004
46,43,Chris Kaman,"Oct 30, '03, LAC @ SEA",21,13,735,19642,3432,7023,1,24,1343,1808,1487,5582,921,322,931,1544,1968,8208,.489,.042,.743,26.7,11.2,7.6,1.3,2004
47,44,Jason Kapono,"Oct 30, '03, CLE @ PHO",22,9,509,9068,1336,3026,457,1054,269,322,165,844,417,180,25,327,777,3398,.442,.434,.835,17.8,6.7,1.7,0.8,2004
48,45,Kyle Korver,"Oct 28, '03, PHI vs. MIA",22,17,1232,31183,4103,9277,2450,5715,1297,1479,345,3643,2114,804,403,1290,2522,11953,.442,.429,.877,25.3,9.7,3.0,1.7,2004
49,46,Maciej Lampe,"Jan 23, '04, PHO vs. SAS",18,3,64,632,94,231,2,8,25,37,37,142,22,8,10,35,81,215,.407,.250,.676,9.9,3.4,2.2,0.3,2004
50,47,Raül López,"Oct 29, '03, UTA vs. POR",23,2,113,2135,280,652,45,130,128,150,31,194,428,84,5,221,278,733,.429,.346,.853,18.9,6.5,1.7,3.8,2004
51,48,Keith McLeod,"Oct 29, '03, MIN vs. MIL",24,4,200,3723,363,1018,59,209,320,400,40,268,536,145,27,250,359,1105,.357,.282,.800,18.6,5.5,1.3,2.7,2004
52,49,Darko Miličić,"Oct 31, '03, DET @ MIA",18,10,468,8638,1196,2602,0,6,421,734,628,1971,405,206,613,573,1065,2813,.460,.000,.574,18.5,6.0,4.2,0.9,2004
53,50,Travis Outlaw,"Nov 15, '03, POR @ NOH",19,11,622,13026,1994,4713,344,1021,941,1265,480,1974,514,331,381,512,1035,5273,.423,.337,.744,20.9,8.5,3.2,0.8,2004
54,51,Zaza Pachulia,"Nov 5, '03, ORL vs. CHI",19,16,1098,22240,2608,5559,0,31,2198,2927,2362,6315,1433,768,378,1444,2738,7414,.469,.000,.751,20.3,6.8,5.8,1.3,2004
55,52,Sasha Pavlović,"Oct 29, '03, UTA vs. POR",20,10,567,8888,1070,2651,308,890,339,504,188,1000,517,272,98,460,1026,2787,.404,.346,.673,15.7,4.9,1.8,0.9,2004
56,53,Desmond Penigar,"Feb 20, '04, ORL vs. DEN",22,1,10,89,14,28,0,0,4,4,6,24,3,2,2,6,14,32,.500,,1.000,8.9,3.2,2.4,0.3,2004
57,54,Kirk Penney,"Nov 3, '03, MIA @ DAL",23,2,6,30,2,9,1,4,0,0,0,2,2,1,0,5,1,5,.222,.250,,5.0,0.8,0.3,0.3,2004
58,55,Kendrick Perkins,"Dec 13, '03, BOS @ CLE",19,14,782,17162,1705,3219,0,14,804,1353,1305,4532,813,263,903,1233,2142,4214,.530,.000,.594,21.9,5.4,5.8,1.0,2004
59,56,Mickaël Piétrus,"Oct 29, '03, GSW vs. DAL",21,10,557,11950,1625,3821,679,1910,700,1053,440,1723,445,371,230,576,1270,4629,.425,.355,.665,21.5,8.3,3.1,0.8,2004
60,57,Zoran Planinić,"Oct 31, '03, NJN vs. MIN",21,3,148,1584,197,486,37,128,130,192,47,198,165,58,7,120,237,561,.405,.289,.677,10.7,3.8,1.3,1.1,2004
61,58,Luke Ridnour,"Oct 30, '03, SEA vs. LAC",22,12,830,21623,2933,6803,584,1674,1290,1496,363,1877,3713,814,161,1349,1779,7740,.431,.349,.862,26.1,9.3,2.3,4.5,2004
62,59,Theron Smith,"Nov 8, '03, MEM @ UTA",23,2,53,688,60,179,9,24,20,24,52,157,35,11,9,41,76,149,.335,.375,.833,13.0,2.8,3.0,0.7,2004
